Stage Name,Full Name,Korean Name,Korean Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
A.M,Seong Hyunwoo,성현우,에이엠,12/31/1996,Limitless,South Korea,,181,62,,,,M,,,
Ace,Jang Wooyoung,장우영,에이스,8/28/1992,VAV,South Korea,,177,63,,,,M,,,
Aeji,Kwon Aeji,권애지,애지,10/25/1999,Hashtag,South Korea,,163,0,Daegu,,,F,,,
AhIn,Lee Ahin,이아인,아인,9/27/1999,MOMOLAND,South Korea,,160,44,Wonju,,,F,,,
Ahra,Go Ahra,고아라,아라,2/21/2001,Favorite,South Korea,,0,0,Yeosu,,,F,,,
Ahyoung,Cho Jayoung,조자영,아영,5/26/1991,Dal Shabet,South Korea,,0,0,Seoul,,,F,,,
Ahyung,Kang Ahyoung,강아형,아형,8/27/1996,P.O.P,South Korea,,0,0,Pohang,,,F,,,
Ailee,Lee Yejin,이예진,에일리,5/30/1989,,South Korea,USA,165,0,Denver,,,F,,aileeonline,
Aini,Kim Heejung,김희정,아이니,7/13/1991,Pink Fantasy,South Korea,,163,44,,,,F,,,
Aisha,Heo Yoorim,허유림,아샤,7/21/2000,Everglow,South Korea,,0,0,,,,F,,,
AleXa,Kim Seri,김세리,알렉사,12/6/1996,,USA,,0,0,,,,F,,,
Alice,Song Joohee,송주희,앨리스,3/21/1990,Hello Venus,South Korea,,166,47,Wonju,,,F,,jh.song_alice,
Allen,Allen Ma,앨런 마,앨런,4/26/1999,CRAVITY,USA,South Korea,0,0,,,,M,,,
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,9/18/1992,f(x),USA,Taiwan,167,0,Los Angeles,,,F,,ajol_llama,
Anne,Lee Seoyoung,이서영,앤,10/17/2000,GWSN,South Korea,,0,0,,,,F,,,
Anthony,Anthony Lo,엔써니 루오,엔써니,3/12/1998,VARSITY,China,USA,179,0,,,,M,,,
Arang,Son Mnjung,손민정,아랑,3/8/2000,,South Korea,,0,0,,,NeonPunch,F,,sunghyuk_seo,
Arang,Park Yerim,박예림,아랑,1/22/2001,Pink Fantasy,South Korea,,167,49,,,,F,,,
Ari,Kim Sunyoung,김선영,아리,10/23/1994,Tahiti,South Korea,,0,0,Daegu,,,F,,,
Arie,Jeon Minjae,전민재,아리,4/7/2000,MIXX,South Korea,,163,45,,,,F,,,
Arin,Choi Yewon,최예원,아린,6/18/1999,Oh My Girl,South Korea,,163,47,Busan,,,F,,,
Aron,Kwak Youngmin,곽영민,아론,5/21/1993,NU'EST,South Korea,USA,0,0,California,NU'EST W,,M,,,
Asahi,Hanada Asahi,하나다 아사히,아사히,8/20/2001,Treasure,Japan,,0,0,,,,M,,,
